Entreprise,Secteur,Département,Ville,Adresse,Email,Téléphone,Lien Google Maps,Note Google,Nombre Avis,Potentiel Budget,Site Web,Nb Avis +,Nb Avis -,Thèmes Positifs,Thèmes Négatifs,Résumé Avis +,Résumé Avis -,Description GMB,Note Prospection
Toit pour toi : Agence Immobilière,Agence immobilière,80,Amiens,"à, 1 Rue Robert de Luzarches, 80000 Amiens, France",NON TROUVÉ,07 67 07 19 08,📍 Voir sur Maps,4.4,58,ÉLEVÉ,AUCUN,5,0,"professionnel, sérieux, recommande, écoute",—,J’ai sollicité Mr Couturier pour l’analyse du marché suite à la mise en vente d’un bien familial. Grâce à son analyse pertinente et professionnelle j’ai orienté au mieux la vente avec succès. Un grand merci pour ses cons…,,,"Toit pour toi : Agence Immobilière : 58 avis Google | ✅ Force : professionnel, sérieux, recommande, écoute | 🔥 0 site web → perd des mandats chaque jour"
SCI La Douste Company,Location saisonnière gestion,44,Nantes,"23 Rue Albert Calmette, 44300 Nantes, France",NON TROUVÉ,07 82 87 95 52,📍 Voir sur Maps,4.9,58,ÉLEVÉ,AUCUN,5,0,"professionnel, sérieux, efficace, parfait",—,"Laurent Stypers a été parfait : agréable, professionnel, honnête et très efficace. Je remercie son sérieux concernant la vente de mon appartement, tout a été carré. Je recommande cette agence les yeux fermés ! | Laurent …",,,"SCI La Douste Company : 58 avis Google | ✅ Force : professionnel, sérieux, efficace, parfait | 🔥 0 site web → perd des mandats chaque jour"
Géraldine GUILLEN - Agent Immobilier,Mandataire immobilier,69,Lyon,"2 Chem. des Mouilles, 69290 Grézieu-la-Varenne, France",REP PAS,06 26 15 21 02,📍 Voir sur Maps,5.0,57,ÉLEVÉ,AUCUN,5,0,"professionnel, rapide, recommande, sérieux",—,"Géraldine a été très professionnelle et réactive tout au long du processus. Elle a su nous accompagner avec bienveillance, que ce soit pour la visite ou pour la mise en relation avec le propriétaire. Merci encore pour vo…",,,"Géraldine GUILLEN - Agent Immobilier : 57 avis Google | ✅ Force : professionnel, rapide, recommande, sérieux | 🔥 0 site web → perd des mandats chaque jour"
Claire GESUALDI chasseur immobilier à Marseille,Agent immobilier,13,Marseille,"22 Bd de Roux, 13004 Marseille, France",appeler MERCREDI OU MARDI,06 62 36 53 83,📍 Voir sur Maps,5.0,52,,AUCUN,5,0,"parfait, recommande, rapide, professionnel",—,"J'ai collaboré avec Claire pour la vente d'une maison et l'expérience a été parfaite. Elle a immédiatement cerné les attentes de ses clients, ce qui a permis un véritable coup de cœur dès la première visite ! Je recomman…",,,"Claire GESUALDI chasseur immobilier à Marseille : 52 avis Google | ✅ Force : parfait, recommande, rapide, professionnel | 🔥 0 site web → perd des mandats chaque jour"
Eurl Lefranc Immobilier,Location saisonnière gestion,51,Reims,"8 Rue du Marc, 51100 Reims, France",NON TROUVÉ,06 08 84 33 69,📍 Voir sur Maps,3.1,58,MOYEN,AUCUN,4,0,"sérieux, parfait, confiance, rapide",—,"Je tiens à saluer le professionnalisme et l’efficacité remarquables de cette agence de gestion locative. Madame LEFRANC  en charge des dossiers fait preuve d’une rigueur exemplaire, d’un suivi précis et d’une grande réac…",,,"Eurl Lefranc Immobilier : 58 avis Google | ✅ Force : sérieux, parfait, confiance, rapide | 🔥 0 site web → perd des mandats chaque jour"
Mélissa RIVIERE - Conseils et stratégies en gestion de patrimoine - Gradignan,Gestionnaire de biens,33,Bordeaux,"34 Rue de Cénac, 33100 Bordeaux, France",NON TROUVÉ,06 44 32 00 39,📍 Voir sur Maps,5.0,47,MOYEN,AUCUN,5,0,"parfait, recommande, confiance, service",—,"C'est par l'intermédiaire de ma fille que j'ai sollicité les services de Mélissa RIVIERE. Dans un premier temps, c'était pour préparer ma retraite. Puis, j'ai découvert les différentes niches fiscales  et différents plac…",,,"Mélissa RIVIERE - Conseils et stratégies en gestion de patrimoine - Gradignan : 47 avis Google | ✅ Force : parfait, recommande, confiance, service | 🔥 0 site web → perd des mandats chaque jour"
SYCOMORE CONSULTING,Gestionnaire de biens,68,Mulhouse,"34 Av. Clemenceau, 68100 Mulhouse, France",NON TROUVÉ,06 43 95 67 16,📍 Voir sur Maps,5.0,41,MOYEN,AUCUN,5,0,"professionnel, compétent, recommande, service",—,"Je tiens à souligner le niveau d’expertise de Monsieur JOANNES, tant au niveau juridique que fiscal. Une équipe très professionnelle et compétente au service des clients. Vous avez ici une agence qui vous proposera une a…",,,"SYCOMORE CONSULTING : 41 avis Google | ✅ Force : professionnel, compétent, recommande, service | 🔥 0 site web → perd des mandats chaque jour"
Stéphanie LION GUATNAOUI,Mandataire immobilier,38,Grenoble,"11 Rue Dr Schweitzer, 38100 Grenoble, France",NON TROUVÉ,06 30 96 58 75,📍 Voir sur Maps,5.0,39,MOYEN,AUCUN,5,0,"professionnel, sérieux, efficace, disponible",—,"Je recommande vivement Stéphanie et Khira ! ⭐️  Elles ont vendu mon appartement aujourd’hui et je ne peux que les remercier pour leur travail incroyable. Du début à la fin, tout a été parfaitement géré.  Elles sont à la …",,,"Stéphanie LION GUATNAOUI : 39 avis Google | ✅ Force : professionnel, sérieux, efficace, disponible | 🔥 0 site web → perd des mandats chaque jour"
"Géraldine PUJOL - Gestion Patrimoine, Conseils financiers & Stratégies d' Investissements",Gestionnaire de biens,13,Aix-en-Provence,"8 Avenue des infirmeries Aix en pce Bureaux à l' Atrium bat A2 à 13590 Meyreuil, 13100 Aix-en-Provence, France",NON TROUVÉ,06 08 05 12 61,📍 Voir sur Maps,5.0,39,MOYEN,AUCUN,5,0,"excellent, parfait, recommande, qualité",—,"Géraldine donne d’excellents conseils en gestion de patrimoine et sait trouver des solutions adaptées à chaque situation. Elle a parfaitement compris mes besoins, a su répondre à mes interrogations et surtout me rassurer…",,,"Géraldine PUJOL - Gestion Patrimoine, Conseils financiers & Stratégies d' Investissements : 39 avis Google | ✅ Force : excellent, parfait, recommande, qualité | 🔥 0 site web → perd des mandats chaque jour"
SYLVAIN & VIRGINIE,Agent immobilier,86,Poitiers,"17 Rue Carnot, 86000 Poitiers, France",NON TROUVÉ,06 73 59 87 13,📍 Voir sur Maps,5.0,38,MOYEN,AUCUN,5,0,"professionnel, disponible, recommande, écoute",—,"Un immense merci à Sylvain et Virginie pour leur accompagnement tout au long de la vente de ma maison. Professionnels, disponibles et bienveillants, ils ont su me conseiller à chaque étape et rendre cette expérience simp…",,,"SYLVAIN & VIRGINIE : 38 avis Google | ✅ Force : professionnel, disponible, recommande, écoute | 🔥 0 site web → perd des mandats chaque jour"
Iaca Patrimoine & Immobilier,Agence immobilière,84,Avignon,"37 Rte de Lyon, 84000 Avignon, France",NON TROUVÉ,06 63 42 61 62,📍 Voir sur Maps,4.7,37,MOYEN,AUCUN,5,0,"professionnel, écoute, recommande, agréable",—,"Iaca est expert dans son domaine et apporte des conseils adaptés a la situation de chacun. Nous avons commencé par un projet Denormandie et en sommes à date pelinements satisfaits. | Conseil personnalisé, projet ambitieu…",,,"Iaca Patrimoine & Immobilier : 37 avis Google | ✅ Force : professionnel, écoute, recommande, agréable | 🔥 0 site web → perd des mandats chaque jour"
Casa M Immobilier Marseille - Gestion Locative,Gestionnaire de biens,13,Marseille,"Le Square Saint Eloi, 22 Rue Saint-Éloi Bat E, 13005 Marseille, France",NON TROUVÉ,06 46 60 59 47,📍 Voir sur Maps,5.0,37,MOYEN,AUCUN,5,0,"professionnel, disponible, recommande, confiance",—,"Pour mon premier achat, Julie Pséat a été rassurante, à l'écoute et toujours disponible. C'est très agréable de croiser la route d'une professionnelle comme Julie dont on peut avoir pleinement confiance. Je recommande vi…",,,"Casa M Immobilier Marseille - Gestion Locative : 37 avis Google | ✅ Force : professionnel, disponible, recommande, confiance | 🔥 0 site web → perd des mandats chaque jour"
Lise Aquilina Immobilier,Agence immobilière,63,Clermont-Ferrand,"35 Rue Gonod, 63000 Clermont-Ferrand, France",NON TROUVÉ,06 44 30 63 95,📍 Voir sur Maps,5.0,36,MOYEN,AUCUN,5,0,"écoute, professionnel, disponible, confiance",—,Professionnalisme et compétence de cette agence. Lise Aquilina a toujours été à notre écoute et a vendu notre bien. Ses conseils ont été précieux et ont facilité la vente du bien. Agence fortement recommandée. | Nous avo…,,,"Lise Aquilina Immobilier : 36 avis Google | ✅ Force : écoute, professionnel, disponible, confiance | 🔥 0 site web → perd des mandats chaque jour"
My Biarritz Property - Agence Immobilière,Agence immobilière,64,Biarritz,"5 Av. Jaulerry, 64200 Biarritz, France",NON TROUVÉ,06 43 87 17 92,📍 Voir sur Maps,4.9,34,MOYEN,AUCUN,5,0,"disponible, excellent, confiance, professionnel",—,"Excellent! Arrive à dénicher des biens rares à Biarritz. Suivi et conseil. Au top Grande confiance dès le départ, très au courant du marché local avec un réseau énorme ce qui nous a permis d’acquérir le bien de nos rêves…",,,"My Biarritz Property - Agence Immobilière : 34 avis Google | ✅ Force : disponible, excellent, confiance, professionnel | 🔥 0 site web → perd des mandats chaque jour"
Yoann BERARD Conseiller immobilier,Mandataire immobilier,7,Valence,"114B Av. de Lyon, 07500 Guilherand-Granges, France",NON TROUVÉ,06 78 22 90 87,📍 Voir sur Maps,5.0,34,MOYEN,AUCUN,5,0,"rapide, sérieux, écoute, professionnel",—,Je remercie Yoann de m'avoir accompagné dans cette aventure. Très à l'écoute et sérieux il a su vendre mon fonds de commerce rapidement avec clarté et bienveillance. Un agent au top autant à l'écoute du vendeur que de l'…,,,"Yoann BERARD Conseiller immobilier : 34 avis Google | ✅ Force : rapide, sérieux, écoute, professionnel | 🔥 0 site web → perd des mandats chaque jour"
Mathieu Philipon Immobilier,Agent immobilier,45,Orléans,"116 Rue des Anguignis, 45100 Orléans, France",NON TROUVÉ,06 59 35 85 93,📍 Voir sur Maps,5.0,33,MOYEN,AUCUN,5,0,"disponible, réactif, excellent, recommande",—,"Excellent agent immobilier, que je recommande. Il est à l'écoute et il sait se rendre disponible. Il a même organisé une visite en dehors de son temps de travail pour que je puisse me positionner sur un bien. Grâce à cet…",,,"Mathieu Philipon Immobilier : 33 avis Google | ✅ Force : disponible, réactif, excellent, recommande | 🔥 0 site web → perd des mandats chaque jour"
Sandrine Berger – Agent immobilier Langres,Mandataire immobilier,52,Dijon,"29 Rue Claude Guerin, 52160 Perrogney-les-Fontaines, France",NON TROUVÉ,06 61 20 51 03,📍 Voir sur Maps,5.0,33,MOYEN,AUCUN,5,0,"professionnel, efficace, confiance, rapide",—,"Nous sommes ravis d’avoir accordé notre confiance à Sandrine BERGER pour la vente de notre ensemble immobilier. De l’estimation à la conclusion de la vente, elle a su mener à bien cette opération longue et compliquée. Di…",,,"Sandrine Berger – Agent immobilier Langres : 33 avis Google | ✅ Force : professionnel, efficace, confiance, rapide | 🔥 0 site web → perd des mandats chaque jour"
Sylvie ROUGIER IMMOBILIER - Venelles et Pays d'Aix - My Project Immo by EFFICITY,Mandataire immobilier,13,Aix-en-Provence,"quartier les cabassols, 13770 Venelles, France",NON TROUVÉ,06 20 34 33 04,📍 Voir sur Maps,4.9,33,MOYEN,AUCUN,5,0,"disponible, qualité, professionnel, rapide",—,"Nous avons fait appel à Sylvie Rougier pour la vente de notre maison et l'achat de la suivante. Il est difficile de résumer en quelques lignes l'extraordinaire qualité du travail de Sylvie. Hyper disponible et réactive, …",,,"Sylvie ROUGIER IMMOBILIER - Venelles et Pays d'Aix - My Project Immo by EFFICITY : 33 avis Google | ✅ Force : disponible, qualité, professionnel, rapide | 🔥 0 site web → perd des mandats chaque jour"
Immobilier sur Cour,Agent immobilier,42,Saint-Étienne,"19 Cr Fauriel, 42100 Saint-Étienne, France",NON TROUVÉ,06 22 03 18 72,📍 Voir sur Maps,4.9,29,MOYEN,AUCUN,5,0,"professionnel, excellent, recommande, confiance",—,"Madame Di Maria a assuré la vente de notre maison de A à Z sans accrocs ni fausses notes, avec professionnalisme et sympathie, nous recommandons à 100% | Magali a été très professionnelle pendent l'achat immobilier que j…",,,"Immobilier sur Cour : 29 avis Google | ✅ Force : professionnel, excellent, recommande, confiance | 🔥 0 site web → perd des mandats chaque jour"
Jérôme Durand Immobilier,Agence immobilière,84,Avignon,"17 Bd Champfleury, 84000 Avignon, France",NON TROUVÉ,06 70 87 47 40,📍 Voir sur Maps,5.0,27,MOYEN,AUCUN,5,0,"sérieux, efficace, disponible, confiance",—,"Cela fait maintenant trois ans que nous sommes accompagnés par Jérôme Durand, et nous ne pouvons que souligner son professionnalisme. Toujours disponible, clair dans ses explications et d’une grande honnêteté, il nous gu…",,,"Jérôme Durand Immobilier : 27 avis Google | ✅ Force : sérieux, efficace, disponible, confiance | 🔥 0 site web → perd des mandats chaque jour"
LA CONCIERGERIE ANGEVINE,Location saisonnière gestion,49,Angers,"4 Rue Valdemaine, 49100 Angers, France",NON TROUVÉ,07 82 67 26 92,📍 Voir sur Maps,4.9,27,MOYEN,AUCUN,5,0,"excellent, recommande, qualité, rapide",—,"Equipe sérieuse qui nous a assuré un suivi de qualité depuis notre reservation jusqu'à notre départ. L'appartement loué est de grande taille, en excellent état, placé en centre ville, bien équipé et très propre. Je recom…",,,"LA CONCIERGERIE ANGEVINE : 27 avis Google | ✅ Force : excellent, recommande, qualité, rapide | 🔥 0 site web → perd des mandats chaque jour"
Dunkerque Conciergerie,Location saisonnière gestion,59,Dunkerque,"Pl. Turenne, 59240 Dunkerque, France",NON TROUVÉ,07 76 78 70 45,📍 Voir sur Maps,4.7,27,MOYEN,AUCUN,5,0,"parfait, recommande, service, excellent",—,"Appartement très propre, consignes d’entrées claires, réactivité en cas d’interrogations. Le tout a quelques pas de la plage ! Parfait pour une escale, je recommande ! | Lors de notre petit week-end à Malo les bains, Hil…",,,"Dunkerque Conciergerie : 27 avis Google | ✅ Force : parfait, recommande, service, excellent | 🔥 0 site web → perd des mandats chaque jour"
Fabien OGER,Mandataire immobilier,35,Rennes,"81 Mail François Mitterrand, 35000 Rennes, France",NON TROUVÉ,06 08 93 57 49,📍 Voir sur Maps,4.9,26,MOYEN,AUCUN,5,0,"professionnel, réactif, agréable, efficace",—,"Monsieur Oger est un agent immobilier très professionnel et très agréable. Notre achat s'est déroulé sans encombre, nous sommes très satisfait, il a su être présent et réactif à la moindre interrogation. Encore merci à l…",,,"Fabien OGER : 26 avis Google | ✅ Force : professionnel, réactif, agréable, efficace | 🔥 0 site web → perd des mandats chaque jour"
Loc'Apparts - Location d'appartements,Location saisonnière gestion,87,Limoges,"19 Av. Georges et Valentin Lemoine, 87000 Limoges, France",NON TROUVÉ,06 23 55 94 82,📍 Voir sur Maps,2.0,25,MOYEN,AUCUN,0,5,—,"problème, lent, mauvais, mensonge",,"Faites attention si vous passez par cette agence, leurs annonces ne correspondent pas du tout aux logements proposé. Je devais visiter un appartement a 460€, avec de très belles photos, je me suis retrouvé a visiter 2 ap…",,"Loc'Apparts - Location d'appartements : 25 avis Google | ⚠️ Plaintes : problème, lent, mauvais, mensonge → angle d'accroche | 🔥 0 site web → perd des mandats chaque jour"
Florent Liekens Immobilier,Agent immobilier,63,Clermont-Ferrand,"9 Rue Jean Monnet, 63100 Clermont-Ferrand, France",NON TROUVÉ,07 85 52 92 94,📍 Voir sur Maps,5.0,24,MOYEN,AUCUN,5,0,"disponible, professionnel, réactif, recommande",—,"Florent est un très bon agent immobilier, disponible pour toutes nos demandes avant, pendant mais aussi après l'achat de notre bien immobilier. Nous qui avions eu de mauvaises expériences avec ce corps de métier il nous …",,,"Florent Liekens Immobilier : 24 avis Google | ✅ Force : disponible, professionnel, réactif, recommande | 🔥 0 site web → perd des mandats chaque jour"
IAD Isabelle Davous-Toral,Mandataire immobilier,64,Pau,"21 All. du Pic d'Anie, 64140 Lons, France",NON TROUVÉ,06 16 93 63 06,📍 Voir sur Maps,4.7,24,MOYEN,AUCUN,5,0,"professionnel, recommande, écoute, disponible",—,J'ai fait une transaction avec Isabelle. Tout s'est super bien passé. Elle a été à l'écoute de mes besoins et a su faire preuve de très bons conseils. Pour un accompagnement personnalisé et professionnel je recommande Fi…,,,"IAD Isabelle Davous-Toral : 24 avis Google | ✅ Force : professionnel, recommande, écoute, disponible | 🔥 0 site web → perd des mandats chaque jour"
Agence Immobilière - Lille Gestion Immobilière,Agence immobilière,59,Lille,"157 Rue Léon Gambetta, 59000 Lille, France",NON TROUVÉ,07 83 06 24 73,📍 Voir sur Maps,5.0,23,MOYEN,AUCUN,5,0,"parfait, recommande, écoute, qualité",—,Très bonne expérience pour notre logement qui est parfaitement bien géré. Bonne qualité d’écoute et surtout de disponibilité ! Je recommande! | Très content de mon expérience. Ils ont pris le temps de me guider et de m’e…,,,"Agence Immobilière - Lille Gestion Immobilière : 23 avis Google | ✅ Force : parfait, recommande, écoute, qualité | 🔥 0 site web → perd des mandats chaque jour"
NKT Immobilier - Nikita Legrand,Mandataire immobilier,37,Tours,"10 Rue de Jérusalem, 37000 Tours, France",NON TROUVÉ,07 66 23 10 10,📍 Voir sur Maps,5.0,23,MOYEN,AUCUN,5,0,"compétent, parfait, recommande, sérieux",—,"Nous avons choisi Nikita pour nous accompagner lors de notre premier achat immobilier, et c’était certainement l’un de nos meilleurs choix ! Il nous a accompagné de la définition de notre projet jusqu’à la signature chez…",,,"NKT Immobilier - Nikita Legrand : 23 avis Google | ✅ Force : compétent, parfait, recommande, sérieux | 🔥 0 site web → perd des mandats chaque jour"
FACILAD,Administrateur de biens,63,Clermont-Ferrand,"16 Rue des Frères Lumière, 63100 Clermont-Ferrand, France",NON TROUVÉ,06 52 65 92 35,📍 Voir sur Maps,5.0,23,MOYEN,AUCUN,5,0,"professionnel, sérieux, efficace, recommande",—,"Très belle expérience chez Facilad ! L’accompagnement est sérieux, professionnel et les missions proposées sont variées et enrichissantes.  Un immense merci aux gérants pour leur patience, leur pédagogie et leur professi…",,,"FACILAD : 23 avis Google | ✅ Force : professionnel, sérieux, efficace, recommande | 🔥 0 site web → perd des mandats chaque jour"
1Stays Apartments - Marlot,Location saisonnière gestion,51,Reims,"7 Rue Marlot, 51100 Reims, France",NON TROUVÉ,07 68 92 87 75,📍 Voir sur Maps,4.4,23,MOYEN,AUCUN,5,0,"parfait, recommande, agréable",—,"Logement en centre-ville et proche de toutes les attractions. Bien équipé et propre. Seul bémol: ustensiles de cuisine un peu juste Mais le reste est parfait | Très bonne communication (anticipation, explication, fluidit…",,,"1Stays Apartments - Marlot : 23 avis Google | ✅ Force : parfait, recommande, agréable | 🔥 0 site web → perd des mandats chaque jour"
Anne-Sophie Denibaud,Mandataire immobilier,17,La Rochelle,"15 Rue des Loriots, 17180 Périgny, France",NON TROUVÉ,06 31 05 40 20,📍 Voir sur Maps,5.0,21,MOYEN,AUCUN,5,0,"excellent, confiance, qualité, efficace",—,"Anne-Sophie est un concentré des qualités humaines, de compétences techniques et d'énergie. Elle trouve des solutions à tous les obstacles, soit parce qu'elle connaît extrêmement bien son domaine, soit en étant une excel…",,,"Anne-Sophie Denibaud : 21 avis Google | ✅ Force : excellent, confiance, qualité, efficace | 🔥 0 site web → perd des mandats chaque jour"
ACL CONSEIL IMMOBILIER Poitiers,Agence immobilière,86,Poitiers,"115 Av. du Plt des Glières, 86000 Poitiers, France",NON TROUVÉ,07 49 36 93 34,📍 Voir sur Maps,4.0,20,MOYEN,AUCUN,3,2,"recommande, écoute, qualité, service","déçu, réponse","Merci beaucoup ACL CONSEIL IMMOBILIER, tout particulièrement à Mme COURCIER pour son écoute, son professionnalisme et sa bonne humeur. J'ai été accompagnée à chaque étape de mon projet grâce à sa disponibilité. Je recomm…",Très déçue. Manque de professionnalisme totale. Réponse au mail quand ils ont envie malgré une offre d’achat immobilier. Pas de réponse au téléphone. J’ai loupé la maison où j’avais un « coup de cœur » à cause d’eux. Je …,,"ACL CONSEIL IMMOBILIER Poitiers : 20 avis Google | ✅ Force : recommande, écoute, qualité, service | ⚠️ Plaintes : déçu, réponse → angle d'accroche | 🔥 0 site web → perd des mandats chaque jour"
