Source,Nom,Secteur,Ville,Téléphone,Email,Note Google,Nb Avis,Points Forts,Problème,Accroche,Site web,Adresse,URL Maps,Gamme Prix,Services,Editorial,Citation Neg
France,SUPERETTE ALIMENTATION,Epicerie,Paris,06 56 55 55 69,,4.4,16,"accueil, disponible, propre",vos horaires sont introuvables ou incorrects en ligne,"Un de vos clients sur Google signale que c'est vos horaires sont introuvables ou incorrects en ligne. Un d'eux a meme ecrit : ""écrit ouvert alors que fermé"" C'est frustrant, et vos clients se deplacent pour rien. La solution : un site avec vos horaires toujours a jour.",NON,"5 Rue de l'Amiral Roussin, 75015 Paris, France",https://maps.google.com/?cid=8001956164137501717,,livraison,,écrit ouvert alors que fermé
France,Market Paris Express,Epicerie,Paris,06 00 00 00 00,,3.9,35,"accueil, chaleureux, sympathique",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",NON,"20 Rue Dauphine, 75006 Paris, France",https://maps.google.com/?cid=5672901094692570359,,,,"Comportement inacceptable du vendeur : ton condescendant et remarques déplacées. Rien à redire sur le produit, mais l’attitude ne donne absolument pas envie de revenir."
France,Shop Market - Épicerie De Nuit,Epicerie,Paris,07 62 54 03 98,,3.5,102,"professionnel, frais",vos horaires sont introuvables ou incorrects en ligne,"2 de vos clients sur Google se plaignent du meme probleme : vos horaires sont introuvables ou incorrects en ligne. Un d'eux a meme ecrit : ""Mytho 2h54 fermé, dommage direction Didot express, la concurrence"" C'est frustrant, et vos clients se deplacent pour rien. La solution : un site avec vos horaires toujours a jour.",NON,"3 places de la, 75014 Paris, France",https://maps.google.com/?cid=6524783184983094903,,PMR,,"Mytho 2h54 fermé, dommage direction Didot express, la concurrence | Ne respecte pas les 24h/24 jamais ouvert de nuit... clodos aux alentours ça craint de folie...je ne recommande pas du tout et JAMAIS... N'est pas ouvert c'est faux... N'y allez pas vous allez être déç"
France,Mini Market,Epicerie,Paris,06 73 24 46 51,,4.1,44,,vos horaires sont introuvables ou incorrects en ligne,"2 de vos clients sur Google se plaignent du meme probleme : vos horaires sont introuvables ou incorrects en ligne. Un d'eux a meme ecrit : ""J’y suis passée un jeudi soir et c’était fermé alors que c’est écrit ouvert"" C'est frustrant, et vos clients se deplacent pour rien. La solution : un site avec vos horaires toujours a jour.",NON,"94 Av. Philippe Auguste, 75011 Paris, France",https://maps.google.com/?cid=9465595604282401384,,livraison,,"Afficher ouvert jusqu'à 6h du matin ce dimanche, je me suis déplacé et j'ai trouvé fermé a 22h20 | Pour dépanner et  faciliter la vie de la population ce lieu est très utile ."
France,Easy Market,Epicerie,Paris,06 19 39 13 94,,4.4,80,"accueil, professionnel, chaleureux",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",NON,"3 Rue Belidor, 75017 Paris, France",https://maps.google.com/?cid=9282692107883811473,,livraison,,
France,Super Market,Epicerie,Paris,07 46 37 58 22,,4.2,29,"accueil, sympathique, propre",difficile a joindre par telephone,"Un de vos clients sur Google signale que c'est difficile a joindre par telephone. Un d'eux a meme ecrit : ""Le soir, ca traine devant la boutique, je rentre acheter une sauce tomate, le gars est au telephone et ne daigne meme pas lever le"" C'est frustrant, surtout quand on a besoin d'un renseignement ou d'un devis urgent. La solution : un formulaire de contact en ligne disponible 24h/24.",NON,"114 Bd du Montparnasse, 75014 Paris, France",https://maps.google.com/?cid=10250846742640936781,,"livraison, PMR",,"J ai achete une petite bouteille d’eau cristaline à 1,50€. Je m apprête à la boire et je me rends compte que la couleur de l eau tire vers le vert ! La bouteille n est pas fermée et il semble y avoir  | Le proprietaire a changé. Une catastrophe. Moi j ai même peur d y aller. Le soir, ca traine devant la boutique, je rentre acheter une sauce tomate, le gars est au telephone et ne daigne meme pas lever"
France,La loge snack pizzeria spécialité tunisienne,Pizzeria,Marseille,07 53 72 67 62,,4.5,393,"accueil, rapide, delicieux",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",NON,"22 Rue de la Loge, 13002 Marseille, France",https://maps.google.com/?cid=3488427714396128038,,"livraison, a emporter, sur place, vegetarien, dejeuner, diner",,
France,O'BAR À PIZZA,Pizzeria,Marseille,07 63 73 83 23,,4.0,103,"excellent, qualite, rapide",vos horaires sont introuvables ou incorrects en ligne,"Un de vos clients sur Google signale que c'est vos horaires sont introuvables ou incorrects en ligne. Un d'eux a meme ecrit : ""C’est une folie que cet établissement soit encore ouvert dans Marseille"" C'est frustrant, et vos clients se deplacent pour rien. La solution : un site avec vos horaires toujours a jour.",NON,"98 Cr Julien, 13006 Marseille, France",https://maps.google.com/?cid=6339798940754835768,,"livraison, a emporter, sur place, click&collect, PMR",,"Nous avons commandé deux pizzas : une fromage 10, 50 et une vege à 13,50. Une fois la commande servi, on a trouvé ça bizarre que la vege soit sans fromage dessus avec des légumes pas cuits. Un peu che | La pizza m’a donné la pâteuse j’avais l’impression d’avoir tiré sur un pétard. Aucun aliment frais, rien de bon. C’est une folie que cet établissement soit encore ouvert dans Marseille. Point positif:"
France,Pizza Au Feu De Bois,Pizzeria,Marseille,07 84 74 55 23,,4.1,73,"rapide, qualite, efficace",les clients ne peuvent pas voir vos realisations avant de vous choisir,"Un de vos clients sur Google signale que c'est les clients ne peuvent pas voir vos realisations avant de vous choisir. Un d'eux a meme ecrit : ""Expérience à revoir"" C'est frustrant, ce qui vous fait perdre des clients face a des concurrents mieux visibles. La solution : une galerie photo de vos meilleurs travaux.",NON,"130 Chem. de la Madrague-Ville, 13015 Marseille, France",https://maps.google.com/?cid=17915048663552175015,,"a emporter, sur place",,"Honnêtement, grosse déception. 2h d'attente pour se faire livrer, on a attendu devant la plage et le livreur a mis une éternité à arriver. La pizza était très sèche, avec une pâte qui représentait 95%"
France,Pizzeria Di Venezia,Pizzeria,Marseille,06 26 18 47 03,,4.6,276,"qualite, accueil, chaleureux",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",NON,"12 Rue Pythéas, 13001 Marseille, France",https://maps.google.com/?cid=13678158251716794679,modere,"a emporter, sur place, petit-dej, dejeuner, diner, PMR",,"Un cadre chaleureux et un accueil au top, on se sent bien ici. Si la pizza au feu de bois est une belle réussite, les pâtes ont été une vraie déception : trop cuites et accompagnées d'une sauce qui ma"
France,Welcome Istambul kebab,Kebab,Marseille,06 95 05 82 51,,4.4,76,"qualite, propre, excellent",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",NON,"22 Rue de la République, 13001 Marseille, France",https://maps.google.com/?cid=15032418521560986003,,"livraison, a emporter, sur place, dejeuner, diner",,
France,ISTANBUL GRILL KEBAB - VIEUX PORT,Kebab,Marseille,07 58 46 27 88,,4.3,254,"accueil, qualite, delicieux",les clients ne peuvent pas voir vos realisations avant de vous choisir,"2 de vos clients sur Google se plaignent du meme probleme : les clients ne peuvent pas voir vos realisations avant de vous choisir. Un d'eux a meme ecrit : ""Bon… la photo parle d’elle-même"" C'est frustrant, ce qui vous fait perdre des clients face a des concurrents mieux visibles. La solution : une galerie photo de vos meilleurs travaux.",NON,"132 Quai du Port, 13002 Marseille, France",https://maps.google.com/?cid=16178878225420523062,,"livraison, a emporter, reservable en ligne, sur place, vegetarien, petit-dej, dejeuner, diner, PMR",,"The food was ok. Good portion, but lamb chops was from shoulder, not a good meat. Waitress was very good, polite and attentive. But the Boss on the register was crook and cheap thieve. He took my 2 €u | Moyen !

Franchement, c’était sans plus. On avait pris un tacos, c’était correct mais fait un peu vite fait, rien d’exceptionnel.
Le service était assez long aussi. Bref, pas mauvais, mais pas de quoi"
France,ISTANBUL GRILL KEBAB,Kebab,Marseille,06 66 78 31 23,,4.1,170,"rapide, accueil, qualite",les clients ne peuvent pas voir vos realisations avant de vous choisir,"Un de vos clients sur Google signale que c'est les clients ne peuvent pas voir vos realisations avant de vous choisir. Un d'eux a meme ecrit : ""Kebab bon mais maigre et portion de frites maigre, je me suis rendu compte après avoir pris la photo mais ils ont laissé le papier"" C'est frustrant, ce qui vous fait perdre des clients face a des concurrents mieux visibles. La solution : une galerie photo de vos meilleurs travaux.",NON,"20 Cr Belsunce, 13001 Marseille, France",https://maps.google.com/?cid=4034744606315844573,,"livraison, a emporter, sur place, dejeuner, diner",,"Kebab bon mais maigre et portion de frites maigre, je me suis rendu compte après avoir pris la photo mais ils ont laissé le papier sous le sandwich. Franchement n’y allez pas pour vous remplir le vent | HORRIBLE ! Immangeable, on était 5 avec chacun un plat/menu différent. Les frites congelées et infectes. Le plat iskender c'est de la sauce tomate concentrée avec un petit suisse étalé. Les sandwichs"
France,Kebab Berliner - Crousty bols,Kebab,Marseille,06 51 24 03 42,,3.4,74,"rapide, savoureux, frais",les clients ne peuvent pas voir vos realisations avant de vous choisir,"Un de vos clients sur Google signale que c'est les clients ne peuvent pas voir vos realisations avant de vous choisir. Un d'eux a meme ecrit : ""Obligé de mettre une étoile parce que je peux pas mettre zéro, j’ai commandé sur Deliveroo pour ne pas avoir à me déplacer"" C'est frustrant, ce qui vous fait perdre des clients face a des concurrents mieux visibles. La solution : une galerie photo de vos meilleurs travaux.",NON,"24 Rue Coutellerie, 13002 Marseille, France",https://maps.google.com/?cid=4493719328510554287,,"livraison, a emporter, sur place, dejeuner, diner, click&collect",,"Le tacos il est sec hein.
Cela représente bien l’expérience gustative, on les remercie car cela nous a permis de travailler comme il faut la mâchoire qui a beaucoup souffert durant la dégustation. Tou | Je suis très déçu par mon expérience chez Kebab Berliner Osid. Les produits étaient froids et de mauvaise qualité, et en plus, j’ai reçu seulement deux sandwiches au lieu de quatre. Ils n’ont pas voul"
France,Le Stand By,Kebab,Marseille,06 58 73 09 87,,4.3,96,"accueil, propre, gentil",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",NON,"5 Rue Louis Maurel, 13006 Marseille, France",https://maps.google.com/?cid=9644675449904253600,,"livraison, a emporter, sur place, petit-dej, dejeuner, diner",,
France,SULTAN GRILL KEBAB,Kebab,Marseille,06 59 06 93 08,,3.9,24,"top, accueil, qualite",les clients ne peuvent pas voir vos realisations avant de vous choisir,"3 de vos clients sur Google se plaignent du meme probleme : les clients ne peuvent pas voir vos realisations avant de vous choisir. Un d'eux a meme ecrit : ""Lors de ma commande ,tout ce que que je voulais prendre n'etais pas possible à avoir , le serveur qui ne parlais pas francais"" C'est frustrant, ce qui vous fait perdre des clients face a des concurrents mieux visibles. La solution : une galerie photo de vos meilleurs travaux.",NON,"138 Bd Danielle Casanova, 13014 Marseille, France",https://maps.google.com/?cid=2081710027288113774,,"livraison, a emporter, sur place, dejeuner",,"Franchement… ce snack, c’est une expérience de survie.
Pas de salade, pas de soupe, pas de naan cheese… juste du poulet au goût de station-service.
Une bouchée et j’avais l’impression d’avaler un jerr | l'un des pires snack ou je suis allé de toutes mes vies .Lors de ma commande ,tout ce que que je voulais prendre n'etais pas possible à avoir , le serveur qui ne parlais pas francais. Je commande une"
France,Praline & Banette,Boulangerie,Marseille,06 58 98 15 80,,4.6,258,"qualite, maison, accueil",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",NON,"167 Rue de Rome, 13006 Marseille, France",https://maps.google.com/?cid=15968623005686353695,,"a emporter, petit-dej",,"Très mauvaise expérience.
J’ai acheté un plat pour manger sur le pouce et j’ai malheureusement retrouvé des poils dedans. Autant dire que ça coupe immédiatement l’appétit.
L’hygiène est pourtant la ba"
France,MÎR BOULANGERIE ET PÂTISSERIE,Boulangerie,Marseille,07 67 54 27 74,,4.5,130,"propre, qualite, accueil",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",NON,"21/23 Bd de la Liberté, 13001 Marseille, France",https://maps.google.com/?cid=323519245001521670,,"livraison, petit-dej",,"La jeune fille à la caisse est très sympathique. Vos baklava pistache sont plutôt bons mais pas super bien fait, ils sont fragiles et se cassent trop vite... on sent trop le sirop car il n'y a pas ass"
France,KS barber shop,Barbier,Marseille,06 73 89 21 16,,4.5,33,"top, accueil, sympathique",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",NON,"136 Bd de Pont de Vivaux, 13010 Marseille, France",https://maps.google.com/?cid=731697286467399869,,,,"Très bon coiffeurs dans l’ensemble, sauf un qui a très probablement acheter son diplôme de barbier sur snap et qui m’a défoncer le crâne, sinon les autres sont clean"
France,{NEXT LOOK} sans rendez vous,Barbier,Marseille,07 54 14 33 80,,4.1,94,"qualite, professionnel, rapide",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",NON,"34 Bd Gustave Ganay, 13009 Marseille, France",https://maps.google.com/?cid=7402633980010438791,,,,"Il mérite même pas une étoile, c’est la première fois j’y vais et il m’a fait une coupe à la samos je lui ai demandé un dégradé bas et il m’a fais une buzcut, plus jamais | Déçu vraiment, désolé je rentre avec mon fils  le coiffeur boudais , même le bonjour c etait forcé...j ai pas trop compris , faut être sociable avec la clientèle, 1 minimum , j ai déposer mon fils de"
France,Vivi Nails,Nail Art,Marseille,06 09 27 49 97,,4.6,44,"excellent, accueil, disponible",impossible de reserver ou prendre rendez-vous en ligne,"Un de vos clients sur Google signale que c'est impossible de reserver ou prendre rendez-vous en ligne. Un d'eux a meme ecrit : ""Institut très sale, beaucoup de poussière partout dans l'établissement (au sol, derrière au niveau du lavabo), pinceaux et plumeau"" C'est frustrant, surtout le soir ou le week-end quand vous etes ferme. La solution : un systeme de reservation en ligne qui fonctionne meme quand vous dormez.",NON,"12 Rue Guy de Combaud Roquebrune, 13007 Marseille, France",https://maps.google.com/?cid=14389613612386338063,,,,"Chez Vivi Nails ! Beauté des pieds et semi permanent : 45€ / semi permanent mains : 30€ | Institut très sale, beaucoup de poussière partout dans l'établissement (au sol, derrière au niveau du lavabo), pinceaux et plumeaux pour ongle encombrés de saleté, désinfecte à peine les ustensiles, p"
France,JB Plomberie,Plombier,Marseille,07 50 29 02 15,,4.6,34,"rapide, qualite, professionnel",les clients ne trouvent pas vos tarifs avant de vous contacter,"Un de vos clients sur Google signale que c'est les clients ne trouvent pas vos tarifs avant de vous contacter. Un d'eux a meme ecrit : ""Ce professionnel vient changer mon chauffe-eau (travail fait de manière correcte même si ce n'est jamais agréable de tomber sur un"" C'est frustrant, ce qui fait fuir ceux qui veulent juste une idee du budget. La solution : une page tarifs claire qui pre-qualifie vos clients.",NON,"5 Rue Allard, 13004 Marseille, France",https://maps.google.com/?cid=12571141872112820811,,,,"À fuir!
Ce professionnel vient changer mon chauffe-eau (travail fait de manière correcte même si ce n'est jamais agréable de tomber sur un plombier qui monter sur vos wc suspendus), le tarif est dans"
France,SWC CLUB | SWC STUDIO - Street Workout & Calisthenics - Marseille,Salle de Sport,Marseille,07 69 91 03 18,,3.6,19,"conseil, professionnel, efficace",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",NON,"13 Rue de Village, 13010 Marseille, France",https://maps.google.com/?cid=15687176534675218282,,,,
France,Chambre d hôtes Au Cœur Des Oliviers.,Gite,Marseille,07 67 13 87 00,,4.6,28,"maison, accueil, top",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",NON,"96 Chem. de Palama, 13013 Marseille, France",https://maps.google.com/?cid=12631995984733668406,,,,
France,Maison Azzopardi Préf,Fleuriste,Marseille,06 95 19 51 32,,4.4,128,"accueil, ecoute, chaleureux",vos horaires sont introuvables ou incorrects en ligne,"Un de vos clients sur Google signale que c'est vos horaires sont introuvables ou incorrects en ligne. Un d'eux a meme ecrit : ""J’arrive un dimanche 15 minutes avant l’heure de fermeture annoncée"" C'est frustrant, et vos clients se deplacent pour rien. La solution : un site avec vos horaires toujours a jour.",NON,"39 Bd Paul Peytral, 13006 Marseille, France",https://maps.google.com/?cid=11167492063302872300,,"livraison, PMR",,"Comme déjà mentionné, pas du tout commercial…
J’arrive un dimanche 15 minutes avant l’heure de fermeture annoncée. La boutique est encore ouverte, mais il me dit qu’il est fermé.
Je reviens à l’ouvert"
France,Alimentation Supérette beauvau,Epicerie,Marseille,07 66 49 92 23,,4.4,31,"accueil, propre, souriant",vos horaires sont introuvables ou incorrects en ligne,"Un de vos clients sur Google signale que c'est vos horaires sont introuvables ou incorrects en ligne. Un d'eux a meme ecrit : ""Hâte de sa fermeture"" C'est frustrant, et vos clients se deplacent pour rien. La solution : un site avec vos horaires toujours a jour.",NON,"10 Rue Beauvau, 13001 Marseille, France",https://maps.google.com/?cid=4676436851649917695,,,,"Étant un habitué du quartier ce commerce dérange le voisinage constamment.
Hâte de sa fermeture.
Gérant de la boutique pas aimable et prend l'attitude d'un caïd de cité.
Ici c'est le vieux port pas le | 25€ pour un pack de 24 bouteilles d'eau, c'est absurde, et ils ont refusé d'annuler la transaction ou de me rendre mon argent quand j'ai vu le prix et que je l'ai renvoyé. Ils ont gardé l'eau et mon a"
France,Epicerie Romain Rolland,Epicerie,Marseille,06 18 28 12 61,,3.6,28,"propre, accueil, sympathique",les clients ne trouvent pas vos tarifs avant de vous contacter,"Un de vos clients sur Google signale que c'est les clients ne trouvent pas vos tarifs avant de vous contacter. Un d'eux a meme ecrit : ""Sans parler des prix exorbitant"" C'est frustrant, ce qui fait fuir ceux qui veulent juste une idee du budget. La solution : une page tarifs claire qui pre-qualifie vos clients.",NON,"297 Bd Romain Rolland, 13009 Marseille, France",https://maps.google.com/?cid=6635269045348644478,,livraison,,Jamais vu autant d'incompétence... je commande via delivroo ( 5 articles ) j'en reçois 3... malheureusement c'est une habitude car sur 3 commandes deux d'entre elles furent bâclé. Sans parler des prix
France,RS Night Shop,Epicerie,Marseille,06 53 84 56 08,,4.6,36,"sympathique, qualite, propre",peu d'avis Google,"Vous n'avez que 5 avis sur Google. Vos concurrents en ont souvent 10x plus. Sans site web, vous etes invisible pour les gens qui cherchent votre activite.",NON,"431 Chem. de la Madrague-Ville, 13015 Marseille, France",https://maps.google.com/?cid=5367527474611694215,,livraison,,Magasin sale et personnel impoli ont vu 2 rats dans le magasin alors que les courses ne reviendront jamais
France,Rapid Market,Epicerie,Marseille,06 27 32 12 28,,3.0,10,frais,les clients ne trouvent pas vos tarifs avant de vous contacter,"Un de vos clients sur Google signale que c'est les clients ne trouvent pas vos tarifs avant de vous contacter. Un d'eux a meme ecrit : ""En regardant les comptes je vois que le pack de bière a 6,90 m'a été facturé 9,60 😭😭😭 ça va les gars vous l'avez fait à combien de"" C'est frustrant, ce qui fait fuir ceux qui veulent juste une idee du budget. La solution : une page tarifs claire qui pre-qualifie vos clients.",NON,"19 Rue Breteuil, 13006 Marseille, France",https://maps.google.com/?cid=3213123707814203103,,,,"-1.... Ha ben non... ils étaient ouverts ça mérite 1.
Le gars il ne dit pas bonjour, il ne te calcule même pas.
La télé à fond sur un match dans le magasin.
on peut pas dire qu'il soit désagréable...  | En regardant les comptes je vois que le pack de bière a 6,90 m'a été facturé 9,60 😭😭😭 ça va les gars vous l'avez fait à combien de client le jour de la nouvelle année ?"
France,L 'Alim Crillon - Alimentation générale - Livraison 7/7,Epicerie,Marseille,07 50 11 41 23,,4.4,34,"accueil, conseil, gentil",vos nouveaux clients ont du mal a vous trouver,"Un de vos clients sur Google signale que c'est vos nouveaux clients ont du mal a vous trouver. Un d'eux a meme ecrit : ""Wallah je suis venue me faire rembourser ses une honte pour une alimentation même trouver une solution y’a rien de favorable quel "" C'est frustrant, meme quand ils cherchent exactement ce que vous proposez. La solution : un site optimise pour apparaitre sur Google quand on cherche votre activite.",NON,"33 Rue Crillon, 13005 Marseille, France",https://maps.google.com/?cid=9594832705070163301,,livraison,,Wallah je suis venue me faire rembourser ses une honte pour une alimentation même trouver une solution y’a rien de favorable quel honte | Pas grand mais avec beaucoup de choix
